,trip_id,uniqueid,qday,qday1typical,qborough_home,qsurveyzone_home,qtripdaytime,qborough_start,surveyzone_start,qday1tripend,qborough_end,surveyzone_end,qday1tripendcode,qday1triplength_cat,number_of_trips_taken,qgender,qincome,qdisability1,qdisability2,qdisability3,qdisability4,qdisability5,qdisability6,qdisability7,qdisability8,qdisability9,qagecode,qracecode,qeducation,qlicense,qcaraccess,qwelfare1,qwelfare2,qwelfare3,qwelfare4,qwelfare5,qsmartphone,qshare1,qshare2,qshare3,qshare4,qshare5,qshare6,qshare7,qshare8,qtemphigh,qtemplow,qprecipitation,qcitibike,qday1triptravelcode_sp,qmodegrouping,qsustainablemode,allwt,qpurposerecode,Cluster,PC1_2d,PC2_2d
641,1103799,103799,Sunday,Very typical,Manhattan,Northern Manhattan,AM,Manhattan,Northern Manhattan,"Grocery store or market (including deli, bodega, etc.)",Manhattan,Manhattan Core,"Grocery store or market (including deli, bodega, etc.)",61 to 180,2.0,Female,"$15,000 - $24,999",No,No,No,No,No,No,Yes,No,No,35-44,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.30794519,Shopping,1,5.092400830261458,-0.8703408462825889
642,1103801,103801,Sunday,Very typical,Queens,Inner Queens,NOON,Queens,Inner Queens,"Grocery store or market (including deli, bodega, etc.)",Queens,Inner Queens,"Grocery store or market (including deli, bodega, etc.)",11 to 15,2.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Walk,Walk,Yes,0.301895112,Shopping,1,5.146621737793278,-0.8323145453943749
643,1103832,103832,Monday,Very typical,The Bronx,Southern Bronx,AM,The Bronx,Southern Bronx,School,The Bronx,Southern Bronx,School,56 to 60,3.0,Male,"$75,000 - $99,999",No,No,Yes,No,No,No,No,No,No,25-34,Hispanic,Some college but degree not received or in progress,No,I do not have access to a car,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.953918437,School,1,4.9997502489363255,-0.8974048064281862
644,1103863,103863,Monday,Very typical,Queens,Inner Queens,AM,Queens,Inner Queens,Work,Manhattan,Manhattan Core,Work,26 to 30,2.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.703141812,Commute to/from work,1,5.0660941282839405,-1.3049620422625587
645,1103833,103833,Monday,Very typical,Queens,Middle Queens,NOON,Queens,Middle Queens,"Grocery store or market (including deli, bodega, etc.)",Queens,Outer Queens,"Grocery store or market (including deli, bodega, etc.)",6 to 10,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,"Black, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,"Shared-ride service such a Uber Pool, Via, or Lyft Line",For-Hire Vehicle,No,0.18520922,Personal errands,1,5.111535743305226,-0.4924229825155158
646,1103840,103840,Monday,Very typical,The Bronx,Northern Bronx,NOON,The Bronx,Northern Bronx,Park/Recreational area/Gym,The Bronx,Northern Bronx,Park/Recreational area/Gym,6 to 10,5.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,"Black, Non-Hispanic",Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.243750363,Personal errands,1,5.063102629052568,0.4381420038277228
647,1103845,103845,Monday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Work,Brooklyn,Inner Brooklyn,Work,56 to 60,2.0,Female,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,35-44,"Asian, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.662516599,Commute to/from work,1,5.023793948747769,-1.4518170964886659
648,1103846,103846,Monday,Very typical,Staten Island,Staten Island,AM,Staten Island,Staten Island,"Retail store (e.g. clothing, electronic, hardware, etc.)",Staten Island,Staten Island,"Retail store (e.g. clothing, electronic, hardware, etc.)",26 to 30,3.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.118163418,Shopping,1,5.050403027215638,-0.6394758086274008
649,1103848,103848,Monday,Very typical,The Bronx,Southern Bronx,AM,The Bronx,Southern Bronx,Other,The Bronx,Southern Bronx,Other,56 to 60,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,"Associate degree (i.e., AA, AS)",No,Other,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Local bus,Bus,Yes,0.394453454,Other,1,5.008935994021581,-0.8111694330471924
650,1103850,103850,Monday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Work,Manhattan,Manhattan Core,Work,41 to 45,2.0,Female,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.486395054,Commute to/from work,1,5.072159301388481,-1.3538060094635185
651,1103857,103857,Monday,Very typical,Queens,Inner Queens,PM,Queens,Inner Queens,Restaurant or bar,Queens,Inner Queens,Restaurant or bar,6 to 10,2.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.547183641,Dining,1,5.099534686646141,-0.7424115338204441
652,1103864,103864,Monday,Very typical,Queens,Inner Queens,AM,Queens,Inner Queens,Work,Queens,Outer Queens,Work,26 to 30,4.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.4888058420000001,Commute to/from work,1,5.072308946818128,-0.5002081197954137
653,1103874,103874,Monday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Home,Queens,Middle Queens,Home,11 to 15,4.0,Female,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.613267501,Other,1,5.138489043579862,-0.0029405307222803425
654,1103877,103877,Monday,Very typical,Manhattan,Northern Manhattan,NOON,Manhattan,Northern Manhattan,Outside of New York City,The Bronx,Northern Bronx,Road/tunnel/bridge,180+,2.0,Female,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.55917969,School,1,5.051752190431968,-0.7825303669605446
655,1103879,103879,Monday,Very typical,Manhattan,Northern Manhattan,AM,Manhattan,Northern Manhattan,Work,Manhattan,Northern Manhattan,Work,11 to 15,4.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.8151090520000001,Commute to/from work,1,5.062699775146664,-0.14906816333157535
656,1103880,103880,Tuesday,Very typical,Queens,Inner Queens,AM,Queens,Inner Queens,Work,Queens,Inner Queens,Work,0 to 5,2.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,18-24,"Asian, Non-Hispanic",Some college but degree not received or in progress,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.943003536,Commute to/from work,1,5.07044461369163,-1.4150372615319469
657,1103884,103884,Tuesday,Very typical,Manhattan,Northern Manhattan,NOON,Manhattan,Northern Manhattan,Restaurant or bar,Manhattan,Northern Manhattan,Restaurant or bar,6 to 10,1.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,25-34,"Black, Non-Hispanic","Associate degree (i.e., AA, AS)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.978936774,Dining,1,5.069339349351504,-0.9220322342190104
658,1103907,103907,Tuesday,Very typical,The Bronx,Southern Bronx,PM,The Bronx,Southern Bronx,"Grocery store or market (including deli, bodega, etc.)",The Bronx,Southern Bronx,"Grocery store or market (including deli, bodega, etc.)",6 to 10,2.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,"Black, Non-Hispanic",Some high school,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.8379417229999999,Shopping,1,5.04670623655562,-0.9066101129705056
659,1103909,103909,Tuesday,Very typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Other,Manhattan,Manhattan Core,Other,0 to 5,1.0,Female,"Less than $14,999",No,No,No,No,No,Yes,No,No,No,35-44,"Black, Non-Hispanic","Associate degree (i.e., AA, AS)",No,I do not have access to a car,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Other,Other,No,0.8613887490000001,Other,1,5.0461209935984055,-1.2086631641230934
660,1103911,103911,Tuesday,Very typical,The Bronx,Northern Bronx,AM,The Bronx,Northern Bronx,Home,The Bronx,Northern Bronx,Home,56 to 60,1.0,Female,"Less than $14,999",No,No,No,No,No,Yes,No,No,No,25-34,"Black, Non-Hispanic",Some college but degree not received or in progress,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Don't know,Other,No,0.557802913,Commute to/from work,1,5.0517616102641965,-1.4530192163056554
661,1103930,103930,Wednesday,Very typical,Manhattan,Northern Manhattan,AM,Manhattan,Northern Manhattan,Home,Manhattan,Northern Manhattan,Home,0 to 5,1.0,Male,"$150,000-$199,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.325615838,Personal errands,1,5.061147661039566,-1.043398937860927
662,1103964,103964,Thursday,Very typical,The Bronx,Northern Bronx,AM,The Bronx,Northern Bronx,Home,The Bronx,Northern Bronx,Home,0 to 5,4.0,Female,"$15,000 - $24,999",No,No,Yes,No,No,No,No,No,No,55-64,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.519678789,Shopping,1,5.086945154162015,0.03309051590933219
663,1103966,103966,Thursday,Very typical,Queens,Middle Queens,NOON,Queens,Outer Queens,Home,Queens,Middle Queens,Home,11 to 15,1.0,Male,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,2.0,2.0,2.0,No,Green taxi,For-Hire Vehicle,No,0.533751098,Other,1,5.128798795162637,-1.1324859746286822
664,1103967,103967,Thursday,Very typical,Manhattan,Northern Manhattan,AM,Manhattan,Northern Manhattan,Home,Manhattan,Northern Manhattan,Home,0 to 5,1.0,Male,"$75,000 - $99,999",Yes,No,No,No,No,No,No,No,No,55-64,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.391581363,Commute to/from work,1,5.042898794896295,-1.1265948142272968
665,1103978,103978,Thursday,Very typical,Brooklyn,Inner Brooklyn,NOON,Brooklyn,Inner Brooklyn,Park/Recreational area/Gym,Brooklyn,Inner Brooklyn,Park/Recreational area/Gym,0 to 5,2.0,Male,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.913253347,Social/recreation,1,4.952611583956228,-0.8529329601139857
666,1104049,104049,Friday,Very typical,Queens,Inner Queens,AM,Queens,Inner Queens,Work,Manhattan,Manhattan Core,Work,46 to 50,2.0,Male,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,35-44,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.641532157,Commute to/from work,1,5.035584594899452,-1.4233190236121198
667,1103983,103983,Thursday,Very typical,Staten Island,Staten Island,AM,Staten Island,Staten Island,Work,Staten Island,Staten Island,Work,21 to 25,4.0,Female,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.137643525,Commute to/from work,1,5.032373966223437,-0.4500014933097137
668,1103989,103989,Thursday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Other,Queens,Middle Queens,Other,6 to 10,4.0,Female,"$15,000 - $24,999",No,No,No,No,No,No,Yes,No,No,65 or older,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.474454779,Other,1,5.10429605334683,-0.2965810312122261
669,1103992,103992,Thursday,Very typical,The Bronx,Southern Bronx,AM,The Bronx,Southern Bronx,Doctor's office or hospital,The Bronx,Southern Bronx,Doctor's office or hospital,26 to 30,3.0,Female,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,"High school graduate or equivalent (i.e., GED)",No,I do not have access to a car,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Select bus service,Bus,Yes,2.249652607,Medical visit (doctor's office),1,5.017049112200186,-0.8944901841238949
670,1103998,103998,Friday,Very typical,Manhattan,Northern Manhattan,NOON,Manhattan,Northern Manhattan,Work,Manhattan,Manhattan Core,Work,31 to 35,3.0,Male,"$25,000 - $34,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Subway,Subway,Yes,0.224564811,Commute to/from work,1,5.066968736257971,-0.4604214055565546
671,1104014,104014,Friday,Very typical,The Bronx,Northern Bronx,AM,The Bronx,Northern Bronx,"Retail store (e.g. clothing, electronic, hardware, etc.)",Manhattan,Manhattan Core,"Retail store (e.g. clothing, electronic, hardware, etc.)",26 to 30,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,Yes,No,No,No,35-44,"Asian, Non-Hispanic",Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.4815817,Personal errands,1,5.037125752000984,-0.682748095675363
672,1104020,104020,Friday,Very typical,The Bronx,Northern Bronx,AM,The Bronx,Northern Bronx,"Retail store (e.g. clothing, electronic, hardware, etc.)",Manhattan,Manhattan Core,"Retail store (e.g. clothing, electronic, hardware, etc.)",41 to 45,3.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,18-24,"Black, Non-Hispanic",Some college but degree not received or in progress,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.243750363,Social/recreation,1,5.069274647094558,-0.6897833961076841
673,1104032,104032,Friday,Very typical,Manhattan,Northern Manhattan,AM,Manhattan,Northern Manhattan,Other,Brooklyn,Inner Brooklyn,Other,61 to 180,4.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","Associate degree (i.e., AA, AS)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,0.676499495,Social/recreation,1,5.00142966758746,-0.18831237490333813
674,1104077,104077,Saturday,Very typical,Staten Island,Staten Island,NOON,Staten Island,Staten Island,Home,Staten Island,Staten Island,Home,61 to 180,2.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Personal car,Car,No,0.168988849,Dining,1,5.046761704874023,-0.6277232806615906
675,1104083,104083,Saturday,Very typical,Queens,Middle Queens,AM,Queens,Middle Queens,Work,Queens,Middle Queens,Work,26 to 30,2.0,Male,"$15,000 - $24,999",No,No,No,No,No,No,Yes,No,No,35-44,"Asian, Non-Hispanic",Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Subway,Subway,Yes,1.448538818,Commute to/from work,1,5.0357388348927135,-1.527774966794592
676,1104089,104089,Saturday,Very typical,The Bronx,Southern Bronx,AM,The Bronx,Southern Bronx,Home,The Bronx,Southern Bronx,Home,0 to 5,1.0,Female,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,35-44,Hispanic,"Bachelor's degree (i.e., BA, BS, AB)",No,I do not have access to a car,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.431883265,Social/recreation,1,5.016719468449728,-1.3703604381020795
677,1104104,104104,Saturday,Very typical,Queens,Outer Queens,AM,Queens,Outer Queens,Friend or family member's home,Queens,Outer Queens,Friend or family member's home,6 to 10,6.0,Female,"$25,000 - $34,999",No,No,No,No,No,No,Yes,No,No,18-24,"Other, Non-Hispanic",Some college but degree not received or in progress,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.194600243,Social/recreation,1,5.092570079643776,0.6103254397901766
678,1104133,104133,Sunday,Very typical,Manhattan,Northern Manhattan,NOON,Manhattan,Northern Manhattan,"Grocery store or market (including deli, bodega, etc.)",Manhattan,Northern Manhattan,"Grocery store or market (including deli, bodega, etc.)",0 to 5,2.0,Female,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,35-44,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,No,Walk,Walk,Yes,0.185618934,Shopping,1,5.103834170112447,-0.5686644386193491
