,trip_id,uniqueid,qday,qday1typical,qborough_home,qsurveyzone_home,qtripdaytime,qborough_start,surveyzone_start,qday1tripend,qborough_end,surveyzone_end,qday1tripendcode,qday1triplength_cat,number_of_trips_taken,qgender,qincome,qdisability1,qdisability2,qdisability3,qdisability4,qdisability5,qdisability6,qdisability7,qdisability8,qdisability9,qagecode,qracecode,qeducation,qlicense,qcaraccess,qwelfare1,qwelfare2,qwelfare3,qwelfare4,qwelfare5,qsmartphone,qshare1,qshare2,qshare3,qshare4,qshare5,qshare6,qshare7,qshare8,qtemphigh,qtemplow,qprecipitation,qcitibike,qday1triptravelcode_sp,qmodegrouping,qsustainablemode,allwt,qpurposerecode
36,13200998,10200998,Friday,Not very typical,Manhattan,Northern Manhattan,AM,Northern Manhattan,Northern Manhattan,Park/Recreational area/Gym,The Bronx,Northern Manhattan,Park/Recreational area/Gym,6 to 10,11.0,Male,"$200,000 and above",No,No,No,No,No,No,Yes,No,No,35-44,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,56.0,53.0,0.65,No,Personal bicycle,Bike,Yes,0.398314885,Social/recreation
37,13202276,10202276,Wednesday,Somewhat typical,Queens,Inner Queens,NOON,Queens,Inner Queens,Home,Queens,Inner Queens,Home,26 to 30,5.0,Female,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,25-34,Hispanic,"Graduate degree (i.e., Master's, Professional, Doctorate)",No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,68.0,63.0,0.1,No,Personal bicycle,Bike,Yes,0.7177818429999999,Commute to/from work
38,13202701,10202701,Saturday,Not very typical,Brooklyn,Inner Brooklyn,NOON,Inner Brooklyn,Inner Brooklyn,Other,Brooklyn,Inner Brooklyn,Other,0 to 5,3.0,Male,"$100,000 - $149,999",No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,66.0,51.0,0.25,No,Personal bicycle,Bike,Yes,1.1661267020000001,Other
39,14200820,10200820,Thursday,Not very typical,Brooklyn,Outer Brooklyn,PM,Brooklyn,Outer Brooklyn,Home,Brooklyn,Outer Brooklyn,Home,16 to 20,6.0,Male,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,18-24,"White, Non-Hispanic",Some high school,No,"I do not personally own or lease a car, but I have access to a car belonging to a member of my household",No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,67.0,56.0,0.0,No,Personal bicycle,Bike,Yes,2.417228877,Social/recreation
40,14200998,10200998,Friday,Not very typical,Manhattan,Northern Manhattan,NOON,The Bronx,Northern Manhattan,Home,Manhattan,Northern Manhattan,Home,6 to 10,11.0,Male,"$200,000 and above",No,No,No,No,No,No,Yes,No,No,35-44,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,56.0,53.0,0.65,No,Personal bicycle,Bike,Yes,0.398314885,Social/recreation
41,15204136,10204136,Monday,Somewhat typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,"Grocery store or market (including deli, bodega, etc.)",Manhattan,Manhattan Core,"Grocery store or market (including deli, bodega, etc.)",6 to 10,12.0,Male,Refused,No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Citi Bike,Bike,Yes,0.45671583,Shopping
42,16204136,10204136,Monday,Somewhat typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Work,Manhattan,Manhattan Core,Work,21 to 25,12.0,Male,Refused,No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Citi Bike,Bike,Yes,0.45671583,Commute to/from work
43,20204136,10204136,Monday,Somewhat typical,Manhattan,Manhattan Core,NOON,Manhattan,Manhattan Core,Other,Manhattan,Manhattan Core,Other,31 to 35,12.0,Male,Refused,No,No,No,No,No,No,Yes,No,No,55-64,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,2.0,2.0,2.0,Yes,Citi Bike,Bike,Yes,0.45671583,Social/recreation
44,51200019,50200019,Thursday,Somewhat typical,Manhattan,Manhattan Core,AM,Manhattan,Manhattan Core,Work,Manhattan,Manhattan Core,Work,11 to 15,4.0,Female,"$75,000 - $99,999",No,No,No,No,No,No,Yes,No,No,35-44,"Asian, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,84.0,70.0,0.0,Yes,Citi Bike,Bike,Yes,2.0873242430000003,Commute to/from work
45,51200985,50200985,Saturday,Very typical,Brooklyn,Inner Brooklyn,AM,Brooklyn,Inner Brooklyn,Work,Brooklyn,Inner Brooklyn,Work,11 to 15,1.0,Female,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,45-54,"White, Non-Hispanic","Bachelor's degree (i.e., BA, BS, AB)",Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,81.0,56.0,0.0,No,Personal bicycle,Bike,Yes,0.490646326,Commute to/from work
46,51200991,50200991,Saturday,Very typical,Brooklyn,Inner Brooklyn,AM,Brooklyn,Inner Brooklyn,Work,Brooklyn,Inner Brooklyn,Work,16 to 20,3.0,Male,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,45-54,"Don't know, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",Yes,Other,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,81.0,56.0,0.0,No,Personal bicycle,Bike,Yes,0.303161265,Commute to/from work
47,51201021,50201021,Saturday,Not at all typical,Queens,Inner Queens,NOON,Inner Queens,Inner Queens,Park/Recreational area/Gym,Queens,Inner Queens,Park/Recreational area/Gym,11 to 15,2.0,Male,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,35-44,Hispanic,"High school graduate or equivalent (i.e., GED)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,81.0,56.0,0.0,No,Personal bicycle,Bike,Yes,2.291830568,Social/recreation
48,51201530,50201530,Thursday,Somewhat typical,Manhattan,Manhattan Core,AM,Manhattan Core,Manhattan Core,Restaurant or bar,Brooklyn,Manhattan Core,Restaurant or bar,61 to 180,5.0,Male,"$200,000 and above",No,No,No,No,No,No,Yes,No,No,18-24,"White, Non-Hispanic",Some college but degree not received or in progress,Yes,I personally own or lease a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,86.0,65.0,0.0,Yes,Citi Bike,Bike,Yes,0.7249893270000001,Social/recreation
49,51201611,50201611,Friday,Somewhat typical,Brooklyn,Outer Brooklyn,NOON,Outer Brooklyn,Outer Brooklyn,Work,Manhattan,Outer Brooklyn,Work,41 to 45,2.0,Refused,"$50,000 - $74,999",No,No,No,No,No,No,Yes,No,No,18-24,Hispanic,"High school graduate or equivalent (i.e., GED)",No,I personally own or lease a car,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,89.0,72.0,0.0,No,Personal bicycle,Bike,Yes,0.06530013,Commute to/from work
50,51201756,50201756,Saturday,Very typical,Manhattan,Northern Manhattan,NOON,Manhattan,Northern Manhattan,Other,Manhattan,Northern Manhattan,Other,16 to 20,4.0,Male,"$35,000 - $49,999",No,No,No,No,No,No,Yes,No,No,25-34,"White, Non-Hispanic","Graduate degree (i.e., Master's, Professional, Doctorate)",No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,80.0,56.0,0.44,No,Personal bicycle,Bike,Yes,0.8971659959999999,Social/recreation
51,51202535,50202535,Sunday,Very typical,Brooklyn,Outer Brooklyn,AM,Outer Brooklyn,Outer Brooklyn,Park/Recreational area/Gym,Brooklyn,Outer Brooklyn,Park/Recreational area/Gym,11 to 15,2.0,Female,"Less than $14,999",No,No,No,No,No,No,Yes,No,No,35-44,Hispanic,No high school,No,I do not have access to a car,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,71.0,51.0,0.16,No,Personal bicycle,Bike,Yes,1.653807094,Social/recreation
